Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.34 | 6.01570 | 0.11158 | 0.89685 | 0.00020 | 2.89698 | 7.22132 | 5.90242 | 0.72717 | 0.40133 | 
 1 -> | 1989.81 | 6.40859 | 0.03021 | 0.98092 | 0.00636 | 2.46820 | 7.60175 | 5.51749 | 7.11208 | 10.8362 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.90 | 7.93058 | 0.10360 | 0.91054 | 0.06118 | 2.85699 | 7.85888 | 5.78223 | 1.63705 | 2.77689 | 
 5 -> | 2003.51 | 8.42082 | 0.11185 | 0.99668 | 0.43079 | 2.95903 | 8.87154 | 5.90255 | 29.5172 | 70.9203 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.47 | 6.00788 | 0.11018 | 0.89931 | 0.00020 | 2.87827 | 7.16286 | 5.88214 | 0.77451 | 0.43710 | 
 1 -> | 1989.81 | 6.38494 | 0.03638 | 0.98731 | 0.01354 | 2.53892 | 7.63367 | 5.57614 | 7.29103 | 12.6303 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.93 | 7.94714 | 0.10337 | 0.91196 | 0.06540 | 2.86066 | 7.92986 | 5.78032 | 1.72807 | 3.03078 | 
 5 -> | 2003.26 | 8.47326 | 0.13770 | 0.99599 | 0.47193 | 2.94920 | 9.01471 | 5.88369 | 33.2032 | 81.0949 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.49 | 6.02829 | 0.11089 | 0.89907 | 0.00052 | 2.87097 | 7.10761 | 5.87844 | 0.88558 | 0.43843 | 
 1 -> | 1989.15 | 6.65538 | 0.02359 | 0.98872 | 0.01333 | 2.54769 | 7.96615 | 5.62154 | 6.59590 | 15.5549 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.87 | 7.93684 | 0.10255 | 0.91517 | 0.06511 | 2.85223 | 7.93912 | 5.77781 | 1.81084 | 3.16577 | 
 5 -> | 2003.10 | 8.65581 | 0.16434 | 0.99690 | 0.45271 | 2.96434 | 8.90233 | 5.90853 | 36.5783 | 88.4884 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.54 | 6.00550 | 0.10743 | 0.89898 | 0.00045 | 2.85845 | 7.08891 | 5.85968 | 0.97241 | 0.50916 | 
 1 -> | 1988.65 | 6.73121 | 0.02675 | 0.98471 | 0.02038 | 2.67643 | 8.46624 | 5.75924 | 6.49554 | 20.5656 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.93 | 7.93558 | 0.09790 | 0.91366 | 0.06497 | 2.84880 | 7.85799 | 5.77553 | 1.86197 | 3.28541 | 
 5 -> | 2002.55 | 8.78493 | 0.17647 | 1.00000 | 0.52574 | 3.06434 | 9.57537 | 5.97610 | 45.4835 | 100.750 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.67 | 5.99877 | 0.10961 | 0.89615 | 0.00058 | 2.84111 | 7.13289 | 5.85347 | 1.04682 | 0.55820 | 
 1 -> | 1988.29 | 6.65593 | 0.00586 | 1.00000 | 0.02050 | 2.72474 | 7.65447 | 5.72182 | 6.36896 | 24.8580 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.95 | 7.93674 | 0.09834 | 0.91622 | 0.06912 | 2.85476 | 7.83210 | 5.76824 | 1.91375 | 3.42724 | 
 5 -> | 2004.14 | 9.09976 | 0.22565 | 1.00000 | 0.59620 | 3.03800 | 9.14489 | 5.97150 | 46.3349 | 116.342 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.74 | 6.05763 | 0.11059 | 0.89492 | 0.00166 | 2.83818 | 7.13960 | 5.84112 | 1.11014 | 0.65356 | 
 1 -> | 1987.86 | 6.78409 | 0.00162 | 1.00000 | 0.00000 | 2.75325 | 7.82630 | 5.73377 | 6.51786 | 30.6705 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.89 | 7.91175 | 0.09738 | 0.91290 | 0.07507 | 2.83794 | 7.88086 | 5.77079 | 2.00891 | 3.61294 | 
 5 -> | 2004.64 | 9.16563 | 0.27813 | 1.00000 | 0.68438 | 3.07813 | 10.2813 | 5.99688 | 55.1688 | 138.528 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.75 | 6.04031 | 0.10872 | 0.89475 | 0.00133 | 2.81622 | 7.16381 | 5.83341 | 1.10544 | 0.67654 | 
 1 -> | 1987.47 | 6.56522 | 0.00207 | 1.00000 | 0.00000 | 2.76190 | 7.15942 | 5.76190 | 6.50104 | 32.0041 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.82 | 7.88989 | 0.09863 | 0.91176 | 0.07927 | 2.83648 | 7.87786 | 5.76617 | 2.10524 | 3.95905 | 
 5 -> | 2003.90 | 9.43277 | 0.26891 | 1.00000 | 0.60924 | 3.06303 | 10.7605 | 5.98739 | 65.9286 | 152.197 | 
