Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2016.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 15.0000 | 6.00000 | 5.00000 | 30.0000 | 
 3 -> | 2003.43 | 8.71429 | 0.00000 | 1.00000 | 0.07937 | 2.36508 | 8.77778 | 5.36508 | 110.762 | 32.4286 | 
 4 -> | 2000.09 | 8.98433 | 0.17241 | 1.00000 | 0.44201 | 2.98746 | 10.9749 | 5.81505 | 39.8150 | 136.633 | 
 5 -> | 1999.49 | 6.98596 | 0.10079 | 0.89915 | 0.03146 | 2.84666 | 7.53422 | 5.82221 | 1.36776 | 1.86833 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2000.64 | 8.15752 | 0.04071 | 0.99823 | 0.34513 | 2.90088 | 8.51858 | 5.91858 | 14.3540 | 46.7628 | 
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2010.13 | 8.76240 | 0.11749 | 0.99478 | 0.41775 | 2.91645 | 10.6371 | 5.94256 | 8.45953 | 25.9974 | 
 3 -> | 1993.17 | 10.5000 | 0.00000 | 1.00000 | 0.00000 | 2.83333 | 13.1667 | 5.50000 | 102.000 | 23.1667 | 
 4 -> | 2002.15 | 8.88995 | 0.22967 | 1.00000 | 0.56459 | 2.96651 | 11.8230 | 5.82297 | 69.5455 | 165.737 | 
 5 -> | 1999.49 | 6.97562 | 0.10234 | 0.89843 | 0.03044 | 2.83333 | 7.56629 | 5.81632 | 1.36826 | 1.69794 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1999.88 | 8.68431 | 0.03403 | 0.99622 | 0.41210 | 2.93006 | 9.00756 | 5.92060 | 13.4310 | 58.4707 | 
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2008.61 | 8.11019 | 0.14325 | 0.99725 | 0.40220 | 2.90909 | 10.0634 | 5.92562 | 10.6832 | 29.0716 | 
 3 -> | 1994.70 | 10.4348 | 0.00000 | 1.00000 | 0.00000 | 2.17391 | 6.86957 | 5.39130 | 76.0870 | 19.6522 | 
 4 -> | 2001.94 | 8.67516 | 0.36306 | 1.00000 | 0.45223 | 2.91720 | 11.1911 | 5.87898 | 90.2420 | 193.229 | 
 5 -> | 1999.48 | 6.96941 | 0.10376 | 0.89834 | 0.03077 | 2.84293 | 7.61012 | 5.81886 | 1.36747 | 1.80079 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1999.83 | 8.70886 | 0.03797 | 0.99494 | 0.34937 | 2.97468 | 8.63291 | 5.96203 | 13.5747 | 65.6658 | 
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2005.58 | 8.49359 | 0.07372 | 1.00000 | 0.47756 | 2.95833 | 9.46154 | 5.96154 | 11.2788 | 35.0321 | 
 3 -> | 1992.54 | 10.0833 | 0.00000 | 1.00000 | 0.00000 | 2.29167 | 9.45833 | 5.25000 | 71.2500 | 22.6250 | 
 4 -> | 2001.77 | 8.69481 | 0.35065 | 1.00000 | 0.46753 | 2.96104 | 11.4610 | 5.88312 | 83.6169 | 188.539 | 
 5 -> | 1999.53 | 6.97665 | 0.10087 | 0.90161 | 0.03278 | 2.82619 | 7.62534 | 5.81034 | 1.44310 | 1.91460 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2000.93 | 9.21333 | 0.05000 | 1.00000 | 0.50333 | 3.02333 | 9.74333 | 5.93333 | 15.3400 | 75.9833 | 
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2002.22 | 8.21086 | 0.01278 | 0.98083 | 0.46006 | 2.94569 | 9.36102 | 5.98403 | 11.4569 | 42.3930 | 
 3 -> | 1995.25 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.25000 | 11.2500 | 6.00000 | 65.5000 | 39.2500 | 
 4 -> | 2001.45 | 8.68874 | 0.37748 | 1.00000 | 0.49007 | 2.99338 | 11.8013 | 5.90066 | 73.3576 | 186.371 | 
 5 -> | 1999.49 | 6.95313 | 0.10375 | 0.89969 | 0.03372 | 2.83565 | 7.64529 | 5.82221 | 1.52487 | 2.03258 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1999.52 | 9.38603 | 0.02206 | 1.00000 | 0.48529 | 3.05147 | 9.68382 | 5.91912 | 14.5588 | 78.2794 | 
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2002.80 | 8.22650 | 0.04274 | 0.97009 | 0.44872 | 2.94017 | 9.03419 | 6.00000 | 12.3675 | 45.5983 | 
 3 -> | 2004.29 | 10.0000 | 0.00000 | 1.00000 | 0.78571 | 3.14286 | 6.92857 | 6.00000 | 40.0714 | 38.9286 | 
 4 -> | 2000.36 | 8.18000 | 0.33333 | 1.00000 | 0.44667 | 3.03333 | 11.1933 | 5.91333 | 68.2400 | 196.707 | 
 5 -> | 1999.41 | 6.93377 | 0.10003 | 0.90000 | 0.03626 | 2.84165 | 7.64648 | 5.82131 | 1.55392 | 2.17026 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2000.57 | 9.17763 | 0.05592 | 1.00000 | 0.52961 | 3.04605 | 9.17763 | 5.92763 | 19.1053 | 94.2138 | 
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2000.67 | 8.97619 | 0.08333 | 1.00000 | 0.52381 | 3.00000 | 8.77381 | 6.00000 | 8.00000 | 53.2619 | 
 3 -> | 2004.69 | 8.10241 | 0.00602 | 0.96988 | 0.46386 | 2.95783 | 11.5723 | 6.00000 | 18.5783 | 43.3313 | 
 4 -> | 1997.76 | 7.90526 | 0.36842 | 1.00000 | 0.33684 | 3.06316 | 11.5895 | 5.89474 | 85.4316 | 230.305 | 
 5 -> | 1999.41 | 6.95022 | 0.09900 | 0.90261 | 0.03618 | 2.83909 | 7.60657 | 5.81776 | 1.56996 | 2.21888 | 
