Gen  0||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 2 -> | 2011.32 | 7.89769 | 0.11313 | 0.89865 | 0.02966 | 2.86643 | 7.97143 | 5.78174 | 0.97809 | 1.35381 | 
 3 -> | 2004.23 | 9.18563 | 0.21557 | 0.96407 | 0.65868 | 3.10778 | 12.5150 | 5.88623 | 63.5808 | 187.593 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.80 | 6.01679 | 0.11693 | 0.90175 | 0.00126 | 2.93729 | 7.07856 | 5.89867 | 1.23336 | 0.82432 | 

Gen  6||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2004.86 | 8.11765 | 0.08645 | 0.98414 | 0.26905 | 2.88645 | 9.77494 | 5.97136 | 10.8373 | 28.5202 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2012.62 | 7.96522 | 0.10716 | 0.90086 | 0.04747 | 2.81052 | 7.90751 | 5.78690 | 1.29542 | 2.06038 | 
 3 -> | 2004.33 | 9.01227 | 0.22086 | 1.00000 | 0.66871 | 3.09202 | 12.1840 | 5.88957 | 77.2945 | 216.558 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1990.42 | 6.31543 | 0.11955 | 0.90285 | 0.00652 | 2.93126 | 7.30234 | 5.84781 | 1.12963 | 0.73753 | 

Gen  7||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2004.39 | 8.27071 | 0.08687 | 0.99192 | 0.28620 | 2.88754 | 9.70505 | 6.00875 | 12.6330 | 32.8094 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2012.65 | 8.47554 | 0.05675 | 0.98728 | 0.16536 | 2.90411 | 9.32094 | 5.91194 | 2.92270 | 10.8513 | 
 3 -> | 2004.58 | 9.30357 | 0.16071 | 1.00000 | 0.66667 | 3.12500 | 13.0417 | 5.82143 | 72.9405 | 190.667 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1999.07 | 6.93664 | 0.11553 | 0.90111 | 0.02142 | 2.88410 | 7.49733 | 5.81729 | 1.19347 | 1.10866 | 

Gen  8||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2003.20 | 8.16206 | 0.08399 | 0.98715 | 0.28162 | 2.92391 | 9.89229 | 6.02866 | 16.0731 | 37.9111 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2010.24 | 8.66748 | 0.08495 | 0.97816 | 0.29854 | 2.75485 | 9.15534 | 5.99272 | 7.26699 | 18.4951 | 
 3 -> | 2004.44 | 9.00000 | 0.14110 | 1.00000 | 0.63190 | 3.20859 | 12.5215 | 5.74847 | 71.7730 | 205.074 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1999.48 | 7.00132 | 0.11217 | 0.90446 | 0.02718 | 2.87950 | 7.47988 | 5.81738 | 1.24406 | 1.44121 | 

Gen  9||   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |
 0 -> | 2001.40 | 7.79625 | 0.08713 | 0.98123 | 0.28820 | 2.93029 | 9.10992 | 6.04290 | 18.2560 | 43.0804 | 
 1 -> | 2016.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 22.0000 | 8.00000 | 0.00000 | 0.00000 | 
 2 -> | 2009.18 | 9.29750 | 0.10500 | 1.00000 | 0.36250 | 2.82000 | 10.2550 | 5.96500 | 10.2300 | 23.0425 | 
 3 -> | 2004.79 | 8.86093 | 0.15232 | 1.00000 | 0.61589 | 3.27152 | 11.8940 | 5.73510 | 65.2119 | 202.722 | 
 4 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1999.48 | 6.98363 | 0.11060 | 0.90240 | 0.03172 | 2.88323 | 7.51974 | 5.82363 | 1.29704 | 1.57307 | 
