Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1987.16 | 6.16899 | 0.10239 | 0.90410 | 0.01802 | 2.82044 | 7.41172 | 5.84903 | 2.49454 | 10.0434 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.30 | 7.75266 | 0.10065 | 0.88617 | 0.03072 | 2.79441 | 7.76959 | 5.72930 | 1.00912 | 0.68104 | 
 1 -> | 2013.54 | 8.35551 | 0.14541 | 0.97318 | 0.09519 | 2.86143 | 7.72916 | 5.82935 | 2.07862 | 5.04102 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.62 | 8.58847 | 0.13428 | 0.99526 | 0.35940 | 2.86335 | 8.83096 | 5.96919 | 9.11374 | 16.1667 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1987.41 | 6.21559 | 0.10253 | 0.90387 | 0.02411 | 2.81779 | 7.36609 | 5.85207 | 2.45618 | 9.18981 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.77 | 7.68428 | 0.10370 | 0.88202 | 0.03179 | 2.82530 | 7.82538 | 5.74488 | 0.91661 | 0.74992 | 
 1 -> | 2014.27 | 8.32414 | 0.12169 | 0.96819 | 0.07319 | 2.79978 | 7.30923 | 5.79199 | 1.99110 | 3.89099 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.67 | 8.64360 | 0.14325 | 0.97993 | 0.33287 | 2.86021 | 9.05606 | 5.95640 | 8.42422 | 15.6450 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1987.49 | 6.20311 | 0.10078 | 0.90434 | 0.02520 | 2.81404 | 7.33701 | 5.84442 | 2.54077 | 10.2188 | 
