Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 1 -> | 1993.10 | 5.75000 | 0.55000 | 0.45000 | 0.40000 | 2.55000 | 20.7000 | 5.55000 | 2.25000 | 11.2500 | 0.32378 | 
 2 -> | 1989.54 | 5.75676 | 0.56757 | 0.43243 | 0.27027 | 2.89189 | 9.64865 | 5.78378 | 47.8378 | 12.1622 | 0.59900 | 
 3 -> | 2001.15 | 5.77049 | 0.40984 | 0.52459 | 0.45902 | 2.70492 | 2.88525 | 5.55738 | 17.7049 | 5.04918 | 0.98753 | 
 4 -> | 2008.50 | 5.78389 | 0.48456 | 0.48188 | 0.31409 | 2.88456 | 9.01074 | 5.64430 | 6.39732 | 3.21342 | 12.0609 | 
 5 -> | 2007.53 | 5.77381 | 0.45700 | 0.48351 | 0.38529 | 2.78026 | 7.62647 | 5.67743 | 16.3724 | 40.4948 | 70.2121 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1988.76 | 5.81359 | 0.51817 | 0.49763 | 0.44234 | 2.74408 | 6.01738 | 5.71406 | 9.40126 | 14.6983 | 10.2477 | 
 1 -> | 1991.47 | 5.74306 | 0.51389 | 0.47222 | 0.48611 | 2.69444 | 16.7361 | 5.65278 | 4.89583 | 14.6597 | 2.33123 | 
 2 -> | 1984.36 | 5.64286 | 0.71429 | 0.57143 | 0.42857 | 2.57143 | 8.50000 | 6.21429 | 30.7857 | 21.0000 | 0.22665 | 
 3 -> | 1991.83 | 5.78488 | 0.51744 | 0.45930 | 0.47674 | 2.73256 | 6.81977 | 5.69186 | 33.0349 | 9.65698 | 2.78452 | 
 4 -> | 2010.18 | 5.79378 | 0.48976 | 0.49507 | 0.44428 | 2.81880 | 7.80591 | 5.62851 | 11.0129 | 8.40106 | 21.3534 | 
 5 -> | 2005.83 | 5.75841 | 0.48935 | 0.51528 | 0.46573 | 2.78383 | 7.73325 | 5.66624 | 28.1530 | 66.1625 | 63.0565 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1991.11 | 5.81136 | 0.49091 | 0.51364 | 0.46591 | 2.83636 | 4.31591 | 5.75682 | 8.82500 | 21.7727 | 7.12320 | 
 1 -> | 1991.47 | 5.73370 | 0.49457 | 0.45109 | 0.44022 | 2.61413 | 16.1957 | 5.65217 | 7.21196 | 21.6576 | 2.97879 | 
 2 -> | 1988.94 | 5.81053 | 0.41053 | 0.48421 | 0.49474 | 2.76842 | 6.91579 | 5.63158 | 20.4632 | 30.6421 | 1.53796 | 
 3 -> | 1990.04 | 5.83012 | 0.49421 | 0.49807 | 0.50965 | 2.98842 | 7.74517 | 5.63320 | 33.4942 | 15.9112 | 4.19297 | 
 4 -> | 2010.67 | 5.76871 | 0.49227 | 0.51020 | 0.48856 | 2.77798 | 7.75510 | 5.67038 | 16.4168 | 16.6797 | 26.1778 | 
 5 -> | 2004.84 | 5.76857 | 0.51173 | 0.50782 | 0.50530 | 2.76214 | 7.88917 | 5.66750 | 43.7116 | 93.9712 | 57.9893 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1993.45 | 5.78325 | 0.50246 | 0.46305 | 0.48276 | 2.78325 | 3.40394 | 5.70443 | 7.50246 | 22.0246 | 3.28638 | 
 1 -> | 1992.45 | 5.74419 | 0.51163 | 0.56977 | 0.46512 | 2.72093 | 15.5930 | 5.56977 | 6.39535 | 18.3372 | 1.39226 | 
 2 -> | 1996.29 | 5.78161 | 0.52682 | 0.50958 | 0.51341 | 2.76628 | 7.41762 | 5.65326 | 11.5862 | 50.4636 | 8.45070 | 
 3 -> | 1988.49 | 5.80311 | 0.49741 | 0.51813 | 0.57513 | 2.88601 | 8.22280 | 5.69948 | 30.0000 | 23.3264 | 3.12449 | 
 4 -> | 2009.78 | 5.76484 | 0.50375 | 0.51585 | 0.49280 | 2.76138 | 7.78732 | 5.68530 | 23.5372 | 24.3625 | 28.0881 | 
 5 -> | 2004.40 | 5.76323 | 0.51047 | 0.48982 | 0.50058 | 2.76498 | 7.75218 | 5.66812 | 70.3630 | 121.918 | 55.6581 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1999.22 | 5.77844 | 0.44910 | 0.50898 | 0.47904 | 2.79641 | 3.16766 | 5.70060 | 6.57485 | 18.5150 | 2.70358 | 
 1 -> | 1995.58 | 5.77273 | 0.45455 | 0.51136 | 0.51136 | 2.96591 | 14.6477 | 5.64773 | 6.61364 | 13.0909 | 1.42464 | 
 2 -> | 1993.83 | 5.77600 | 0.53600 | 0.44800 | 0.50400 | 2.82000 | 6.94000 | 5.65200 | 6.66000 | 60.4120 | 4.04727 | 
 3 -> | 1986.78 | 5.68627 | 0.47059 | 0.54902 | 0.49673 | 2.88889 | 7.55556 | 5.73203 | 22.0392 | 38.9608 | 2.47693 | 
 4 -> | 2007.48 | 5.74058 | 0.48899 | 0.49192 | 0.49829 | 2.75233 | 7.75184 | 5.68967 | 28.7376 | 39.8238 | 33.0743 | 
 5 -> | 2004.25 | 5.77158 | 0.49367 | 0.50518 | 0.49856 | 2.76467 | 7.63550 | 5.67606 | 113.463 | 146.548 | 56.2733 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2007.13 | 5.72243 | 0.52852 | 0.50190 | 0.49049 | 2.71103 | 3.87452 | 5.66920 | 13.2510 | 16.5057 | 4.25773 | 
 1 -> | 1999.02 | 5.72388 | 0.52239 | 0.50000 | 0.49254 | 3.03731 | 12.3955 | 5.60448 | 16.0896 | 8.69403 | 2.16934 | 
 2 -> | 2007.00 | 5.00000 | 0.00000 | 0.00000 | 1.00000 | 2.00000 | 4.00000 | 6.00000 | 0.00000 | 42.0000 | 0.01619 | 
 3 -> | 1987.68 | 5.86364 | 0.46970 | 0.40909 | 0.50000 | 3.06061 | 8.81818 | 5.63636 | 16.4394 | 30.2727 | 1.06848 | 
 4 -> | 2004.58 | 5.74453 | 0.51662 | 0.50131 | 0.48644 | 2.75941 | 7.70822 | 5.67804 | 30.0442 | 62.2367 | 37.0083 | 
 5 -> | 2004.21 | 5.77356 | 0.49081 | 0.49402 | 0.50657 | 2.80333 | 7.64342 | 5.67639 | 183.330 | 164.509 | 55.4800 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.09 | 5.81102 | 0.49606 | 0.53150 | 0.49606 | 2.67323 | 5.85433 | 5.74016 | 25.1654 | 19.4055 | 4.11203 | 
 1 -> | 2005.15 | 5.78673 | 0.44550 | 0.49289 | 0.42180 | 2.68246 | 8.79147 | 5.67299 | 36.2938 | 6.76777 | 3.41590 | 
 2 -> | 2011.96 | 5.75000 | 0.53571 | 0.42857 | 0.50000 | 2.76786 | 6.87500 | 5.53571 | 7.46429 | 35.9107 | 0.90659 | 
 3 -> | 1991.30 | 5.81667 | 0.53889 | 0.42222 | 0.48333 | 2.96111 | 9.16667 | 5.60000 | 30.8889 | 22.9222 | 2.91404 | 
 4 -> | 2004.34 | 5.77246 | 0.48898 | 0.51356 | 0.50763 | 2.79153 | 7.57076 | 5.68686 | 29.7801 | 100.115 | 38.2062 | 
 5 -> | 2004.37 | 5.77279 | 0.49647 | 0.50000 | 0.49487 | 2.77118 | 7.48813 | 5.66335 | 307.748 | 169.058 | 50.4452 | 
