      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.23 | 7.70758 | 0.11829 | 0.88232 | 0.02787 | 2.76840 | 7.71437 | 5.75238 | 0.89621 | 0.86631 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.41 | 9.10442 | 0.10859 | 0.97912 | 0.06026 | 2.85084 | 8.79952 | 5.89857 | 2.37768 | 6.40036 | 
 3 -> | 2014.09 | 8.93349 | 0.12352 | 0.98100 | 0.32067 | 2.87411 | 8.15914 | 5.86461 | 10.2328 | 18.8409 | 
 4 -> | 2005.95 | 7.78857 | 0.09841 | 0.95055 | 0.12313 | 2.90079 | 7.79387 | 5.77894 | 3.12345 | 5.67972 | 
 5 -> | 1987.20 | 6.20752 | 0.09418 | 0.90300 | 0.01327 | 2.84407 | 7.10505 | 5.87633 | 2.77284 | 4.23587 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2012.88 | 7.68771 | 0.11660 | 0.87171 | 0.02494 | 2.84989 | 7.59351 | 5.75472 | 0.87629 | 0.68897 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.52 | 8.89249 | 0.12116 | 0.98464 | 0.04437 | 2.84471 | 8.89704 | 5.91980 | 1.84869 | 5.95961 | 
 3 -> | 2016.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 4.00000 | 6.00000 | 29.0000 | 0.00000 | 
 4 -> | 2006.54 | 7.94499 | 0.09132 | 0.95426 | 0.14697 | 2.77707 | 7.81129 | 5.76171 | 3.77195 | 7.04286 | 
 5 -> | 1987.15 | 6.20601 | 0.09202 | 0.90321 | 0.01503 | 2.86197 | 7.05259 | 5.88238 | 2.90484 | 4.35594 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2012.09 | 7.67424 | 0.11346 | 0.88117 | 0.02704 | 2.80453 | 7.61293 | 5.74383 | 0.94124 | 0.59461 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.51 | 8.74987 | 0.10859 | 0.98507 | 0.03603 | 2.84303 | 8.42512 | 5.91920 | 1.46886 | 5.51930 | 
 3 -> | 2016.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 4.00000 | 6.00000 | 29.0000 | 0.00000 | 
 4 -> | 2006.70 | 8.13694 | 0.10135 | 0.95677 | 0.17917 | 2.83410 | 7.78886 | 5.80173 | 4.53529 | 8.70923 | 
 5 -> | 1987.16 | 6.23756 | 0.09039 | 0.90153 | 0.01539 | 2.85332 | 7.03693 | 5.88427 | 2.95674 | 4.56767 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.02 | 7.64150 | 0.11333 | 0.88699 | 0.02774 | 2.85089 | 7.72488 | 5.74955 | 0.96091 | 0.57112 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.45 | 8.66548 | 0.10183 | 0.97812 | 0.03439 | 2.78741 | 8.03618 | 5.91067 | 1.38053 | 5.01697 | 
 3 -> | 2012.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 16.0000 | 0.00000 | 
 4 -> | 2007.82 | 8.41121 | 0.09859 | 0.97734 | 0.25199 | 2.82762 | 7.58206 | 5.84874 | 6.58604 | 12.7073 | 
 5 -> | 1987.22 | 6.23315 | 0.09053 | 0.90346 | 0.01754 | 2.85426 | 7.09053 | 5.88009 | 3.17806 | 4.86237 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.36 | 7.58215 | 0.11301 | 0.89071 | 0.03332 | 2.84141 | 7.58689 | 5.73987 | 0.94706 | 0.70750 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.40 | 8.46417 | 0.10200 | 0.97515 | 0.03228 | 2.77050 | 7.69496 | 5.89897 | 1.24661 | 4.30568 | 
 3 -> | 2010.66 | 7.95946 | 0.22973 | 0.90541 | 0.09459 | 2.37387 | 6.11712 | 5.19369 | 10.9955 | 0.17117 | 
 4 -> | 2008.90 | 8.73872 | 0.10974 | 0.97767 | 0.30974 | 2.86888 | 8.34489 | 5.92827 | 8.75012 | 16.1767 | 
 5 -> | 1987.21 | 6.26210 | 0.09011 | 0.89964 | 0.01973 | 2.83468 | 7.01025 | 5.87676 | 3.22861 | 5.04595 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.00 | 7.58177 | 0.10688 | 0.90864 | 0.03175 | 2.88883 | 7.44202 | 5.75194 | 0.92293 | 0.91037 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.61 | 8.01712 | 0.10856 | 0.90391 | 0.03674 | 2.75860 | 8.03026 | 5.82527 | 0.95245 | 2.65902 | 
 3 -> | 2010.89 | 7.94578 | 0.16466 | 0.91767 | 0.12851 | 2.45181 | 5.83534 | 5.37149 | 9.29920 | 1.08635 | 
 4 -> | 2008.92 | 8.77389 | 0.11217 | 0.98279 | 0.33056 | 2.88012 | 8.46528 | 5.94777 | 10.3786 | 18.3371 | 
 5 -> | 1987.17 | 6.27732 | 0.09379 | 0.90295 | 0.01911 | 2.83220 | 7.06244 | 5.87440 | 3.23031 | 5.20378 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.93 | 7.52304 | 0.10613 | 0.91260 | 0.03571 | 2.90011 | 7.41915 | 5.76302 | 0.90273 | 1.14159 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.35 | 8.00717 | 0.10087 | 0.89913 | 0.02970 | 2.79019 | 7.95840 | 5.80530 | 0.86457 | 2.25115 | 
 3 -> | 2011.14 | 7.91304 | 0.15345 | 0.95652 | 0.17263 | 2.61253 | 6.51918 | 5.42967 | 7.91049 | 1.78517 | 
 4 -> | 2008.57 | 8.76577 | 0.10537 | 0.97651 | 0.36577 | 2.88725 | 8.81879 | 5.95168 | 11.5893 | 19.7315 | 
 5 -> | 1987.11 | 6.27090 | 0.09183 | 0.90447 | 0.01857 | 2.84231 | 7.02329 | 5.87891 | 3.26929 | 5.11625 | 
