
Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2004.54 | 8.56967 | 0.13525 | 1.00000 | 0.36066 | 2.77049 | 7.44672 | 5.78279 | 14.6148 | 20.7992 | 
 4 -> | 2013.35 | 8.17006 | 0.11762 | 0.90455 | 0.08119 | 2.79960 | 7.93964 | 5.79556 | 2.11224 | 4.30986 | 
 5 -> | 1986.79 | 6.10603 | 0.09963 | 0.90075 | 0.00937 | 2.84165 | 7.29269 | 5.85521 | 3.32791 | 4.74481 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.31 | 7.58662 | 0.10171 | 0.92544 | 0.05061 | 2.92096 | 8.03816 | 5.71435 | 1.35909 | 1.57528 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2005.27 | 8.34921 | 0.23810 | 1.00000 | 0.23810 | 2.82540 | 7.69841 | 5.47619 | 16.9524 | 8.46032 | 
 4 -> | 2013.27 | 8.18358 | 0.11625 | 0.90983 | 0.08701 | 2.78766 | 7.97748 | 5.78979 | 2.28268 | 4.47961 | 
 5 -> | 1986.77 | 6.17622 | 0.09980 | 0.90095 | 0.01141 | 2.85442 | 7.23977 | 5.85392 | 3.15711 | 4.50180 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.77 | 7.52198 | 0.10674 | 0.91784 | 0.04634 | 2.90303 | 8.09223 | 5.72939 | 1.12791 | 1.42117 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2006.00 | 9.17969 | 0.12500 | 1.00000 | 0.07031 | 2.25000 | 10.6953 | 5.19531 | 15.7891 | 2.04688 | 
 4 -> | 2013.39 | 8.25563 | 0.11540 | 0.91706 | 0.09139 | 2.78305 | 7.94845 | 5.78543 | 2.41882 | 4.71355 | 
 5 -> | 1986.89 | 6.20613 | 0.10053 | 0.90373 | 0.01269 | 2.85092 | 7.23367 | 5.85543 | 2.91781 | 4.70274 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.86 | 7.52387 | 0.10542 | 0.91648 | 0.04336 | 2.95518 | 8.04643 | 5.74755 | 1.05461 | 1.33786 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2006.02 | 9.22727 | 0.08442 | 1.00000 | 0.08442 | 2.19481 | 8.64935 | 5.25325 | 11.8506 | 1.44156 | 
 4 -> | 2013.41 | 8.27656 | 0.11462 | 0.92060 | 0.08615 | 2.78442 | 7.90216 | 5.77808 | 2.39348 | 4.60709 | 
 5 -> | 1987.02 | 6.18897 | 0.09678 | 0.90284 | 0.01454 | 2.83258 | 7.23672 | 5.84590 | 3.17877 | 5.05853 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.91 | 7.51891 | 0.10809 | 0.91284 | 0.04276 | 2.97025 | 7.98565 | 5.77067 | 0.94199 | 1.34863 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2005.74 | 8.68136 | 0.06780 | 1.00000 | 0.07458 | 2.23390 | 9.14237 | 5.27458 | 9.72542 | 1.93559 | 
 4 -> | 2013.43 | 8.26049 | 0.11863 | 0.92241 | 0.08045 | 2.79519 | 7.92797 | 5.78497 | 2.30349 | 4.43815 | 
 5 -> | 1987.08 | 6.20287 | 0.09939 | 0.90548 | 0.01523 | 2.82894 | 7.25189 | 5.84014 | 3.22418 | 5.03961 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.96 | 7.53112 | 0.10428 | 0.90999 | 0.04205 | 2.98087 | 7.97192 | 5.77368 | 0.84517 | 1.34381 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2005.36 | 8.00243 | 0.07039 | 1.00000 | 0.07282 | 2.23786 | 8.65291 | 5.29612 | 8.47087 | 2.40777 | 
 4 -> | 2013.48 | 8.25577 | 0.12109 | 0.92132 | 0.07581 | 2.77657 | 8.00999 | 5.77829 | 2.29155 | 4.22319 | 
 5 -> | 1987.11 | 6.21885 | 0.09868 | 0.90817 | 0.01606 | 2.82575 | 7.27081 | 5.83804 | 3.16875 | 5.08594 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.96 | 7.52773 | 0.10401 | 0.90680 | 0.03524 | 3.00392 | 7.98058 | 5.78603 | 0.78336 | 1.27162 | 
 1 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1978.00 | 1.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2005.23 | 7.95963 | 0.05138 | 1.00000 | 0.12477 | 2.34679 | 9.05321 | 5.39450 | 7.45688 | 3.49908 | 
 4 -> | 2013.51 | 8.27630 | 0.11972 | 0.92070 | 0.07435 | 2.78669 | 8.13093 | 5.77638 | 2.30252 | 4.19286 | 
 5 -> | 1987.05 | 6.19337 | 0.09800 | 0.91188 | 0.01680 | 2.84165 | 7.34402 | 5.85422 | 3.21222 | 4.97999 | 
