
Gen00:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 3 -> | 1984.38 | 6.23529 | 0.00000 | 1.00000 | 0.00000 | 2.94118 | 9.61765 | 5.58824 | 73.5294 | 8.91176 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.64 | 7.93929 | 0.11543 | 0.91485 | 0.09167 | 2.87196 | 8.13187 | 5.80670 | 2.94104 | 6.61469 | 

Gen04:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.65 | 6.08123 | 0.09422 | 0.89834 | 0.00045 | 2.82390 | 6.99379 | 5.84085 | 1.29891 | 1.46091 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1986.48 | 5.59375 | 0.00000 | 1.00000 | 0.00000 | 2.65625 | 10.3281 | 5.43750 | 67.6094 | 4.65625 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.61 | 7.92617 | 0.11960 | 0.91457 | 0.09289 | 2.88231 | 8.09237 | 5.80941 | 2.98721 | 6.67241 | 

Gen05:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.59 | 6.11748 | 0.09611 | 0.90157 | 0.00052 | 2.83795 | 6.96215 | 5.84183 | 1.29490 | 1.49713 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1985.48 | 5.98765 | 0.00000 | 1.00000 | 0.00000 | 2.75309 | 8.29630 | 5.41975 | 56.8395 | 8.00000 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.62 | 7.90382 | 0.11911 | 0.91441 | 0.09535 | 2.87021 | 8.06365 | 5.79971 | 2.99481 | 6.73014 | 

Gen06:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.68 | 6.09524 | 0.09621 | 0.89988 | 0.00045 | 2.84353 | 7.01502 | 5.83903 | 1.23426 | 1.37167 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1986.72 | 5.19444 | 0.00000 | 1.00000 | 0.00000 | 2.64815 | 9.00926 | 5.41667 | 51.2870 | 11.1111 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.56 | 7.91954 | 0.11826 | 0.91750 | 0.09586 | 2.87354 | 8.09127 | 5.79762 | 2.96387 | 6.81401 | 

Gen07:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.72 | 6.11381 | 0.09672 | 0.89773 | 0.00045 | 2.82868 | 6.95977 | 5.84532 | 1.22596 | 1.32396 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1987.19 | 5.54310 | 0.00000 | 1.00000 | 0.00000 | 2.56034 | 8.49138 | 5.47414 | 49.4569 | 11.7672 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.55 | 7.90426 | 0.11880 | 0.91608 | 0.09690 | 2.87343 | 8.16380 | 5.80153 | 2.97400 | 6.94769 | 

Gen08:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.65 | 6.10990 | 0.09567 | 0.89775 | 0.00044 | 2.80367 | 6.89257 | 5.83543 | 1.24442 | 1.28447 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1987.22 | 5.28462 | 0.00000 | 1.00000 | 0.00000 | 2.53077 | 8.98462 | 5.43077 | 51.3538 | 10.1692 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.56 | 7.90500 | 0.12134 | 0.91585 | 0.09611 | 2.86872 | 8.17793 | 5.78451 | 3.06448 | 7.02232 | 

Gen09:|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.63 | 6.08337 | 0.09778 | 0.89590 | 0.00050 | 2.82869 | 6.91037 | 5.84466 | 1.23608 | 1.31932 | 
 1 -> | 2011.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 1.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2004.00 | 9.00000 | 1.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 0.00000 | 0.00000 | 
 3 -> | 1987.34 | 5.50000 | 0.00000 | 1.00000 | 0.00000 | 2.51515 | 9.19697 | 5.54545 | 54.6591 | 7.62879 | 
 4 -> | 1990.68 | 6.66102 | 0.00000 | 1.00000 | 0.13559 | 3.44068 | 9.94915 | 5.86441 | 27.3729 | 140.034 | 
 5 -> | 2010.58 | 7.91779 | 0.12473 | 0.91507 | 0.09592 | 2.86844 | 8.20108 | 5.78660 | 3.05084 | 6.98602 | 
