Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2012.46 | 5.73026 | 0.50658 | 0.51974 | 0.53289 | 2.63158 | 14.1579 | 5.62500 | 8.20395 | 5.73026 | 2.51323 | 
 1 -> | 2015.33 | 6.00000 | 0.33333 | 0.66667 | 1.00000 | 2.66667 | 16.6667 | 5.66667 | 0.33333 | 19.3333 | 0.04960 | 
 2 -> | 2002.89 | 5.71053 | 0.50000 | 0.36842 | 0.47368 | 2.89474 | 16.0789 | 5.68421 | 3.76316 | 6.86842 | 0.62831 | 
 3 -> | 2010.52 | 5.78099 | 0.49174 | 0.49174 | 0.50000 | 2.57025 | 16.9752 | 5.70248 | 18.0909 | 15.3678 | 4.00132 | 
 4 -> | 2003.96 | 5.77423 | 0.50709 | 0.52305 | 0.49173 | 2.68381 | 5.55674 | 5.62470 | 19.0680 | 12.2340 | 27.9762 | 
 5 -> | 2003.94 | 5.78194 | 0.48661 | 0.50319 | 0.51135 | 2.60036 | 7.56899 | 5.68452 | 22.5654 | 64.0829 | 64.8313 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2012.07 | 5.71875 | 0.48125 | 0.46250 | 0.48750 | 2.63750 | 7.82500 | 5.71875 | 7.84375 | 6.22500 | 2.64550 | 
 1 -> | 2013.70 | 5.80000 | 0.37500 | 0.62500 | 0.47500 | 2.52500 | 8.20000 | 5.60000 | 3.15000 | 18.6000 | 0.66138 | 
 2 -> | 2002.75 | 5.76190 | 0.44444 | 0.46032 | 0.53968 | 2.60317 | 11.9365 | 5.76190 | 3.04762 | 7.50794 | 1.04167 | 
 3 -> | 2012.48 | 5.83929 | 0.44643 | 0.46429 | 0.49107 | 2.52679 | 15.7946 | 5.83036 | 8.64286 | 22.8482 | 1.85185 | 
 4 -> | 2003.32 | 5.78108 | 0.50394 | 0.49545 | 0.48939 | 2.62947 | 7.14615 | 5.63675 | 25.1759 | 17.1122 | 27.2652 | 
 5 -> | 2004.30 | 5.76988 | 0.50174 | 0.48310 | 0.49925 | 2.59940 | 7.63444 | 5.65855 | 27.4093 | 81.4751 | 66.5344 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.22 | 5.79195 | 0.47651 | 0.54362 | 0.43624 | 2.43624 | 7.51678 | 5.62416 | 11.6846 | 5.59060 | 2.46362 | 
 1 -> | 2012.05 | 5.90000 | 0.50000 | 0.50000 | 0.60000 | 2.25000 | 3.95000 | 5.60000 | 4.55000 | 14.9500 | 0.33069 | 
 2 -> | 1995.24 | 5.72973 | 0.54054 | 0.50000 | 0.52703 | 2.33784 | 8.02703 | 5.59459 | 4.70270 | 7.45946 | 1.22354 | 
 3 -> | 2011.06 | 5.78986 | 0.54348 | 0.55797 | 0.50000 | 2.52899 | 9.92754 | 5.66667 | 5.79710 | 24.4130 | 2.28175 | 
 4 -> | 2004.29 | 5.77617 | 0.49243 | 0.49559 | 0.51198 | 2.59016 | 7.36318 | 5.66078 | 31.3821 | 22.4943 | 26.2235 | 
 5 -> | 2004.23 | 5.77653 | 0.50086 | 0.49963 | 0.49816 | 2.60647 | 7.73732 | 5.64396 | 30.3129 | 101.935 | 67.4769 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.20 | 5.79618 | 0.45860 | 0.53503 | 0.53503 | 2.51592 | 9.70701 | 5.64331 | 16.5732 | 6.86624 | 2.59590 | 
 1 -> | 2011.64 | 5.75000 | 0.46429 | 0.35714 | 0.57143 | 2.17857 | 3.85714 | 5.42857 | 6.14286 | 10.8571 | 0.46296 | 
 2 -> | 1990.98 | 5.75410 | 0.47541 | 0.52459 | 0.57377 | 2.88525 | 7.37705 | 5.73770 | 9.13115 | 6.98361 | 1.00860 | 
 3 -> | 2007.92 | 5.84768 | 0.44371 | 0.52318 | 0.47020 | 2.44371 | 7.13907 | 5.73510 | 5.23179 | 24.0265 | 2.49669 | 
 4 -> | 2004.07 | 5.77623 | 0.48609 | 0.47851 | 0.48420 | 2.53603 | 7.96018 | 5.64033 | 34.6340 | 28.4317 | 26.1574 | 
 5 -> | 2004.59 | 5.77759 | 0.48513 | 0.50356 | 0.49275 | 2.58811 | 7.74269 | 5.64193 | 32.3566 | 125.594 | 67.2784 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.11 | 5.82222 | 0.49444 | 0.47778 | 0.48333 | 2.68333 | 10.0833 | 5.59444 | 24.1778 | 8.38333 | 2.97619 | 
 1 -> | 2011.28 | 5.77500 | 0.47500 | 0.40000 | 0.52500 | 2.35000 | 4.55000 | 5.77500 | 6.97500 | 7.92500 | 0.66138 | 
 2 -> | 1990.73 | 5.76786 | 0.48214 | 0.51786 | 0.42857 | 2.78571 | 8.33929 | 5.51786 | 16.2679 | 6.23214 | 0.92593 | 
 3 -> | 2004.80 | 5.69286 | 0.49286 | 0.50000 | 0.47857 | 2.67143 | 8.02857 | 5.62857 | 6.62143 | 23.0000 | 2.31481 | 
 4 -> | 2004.10 | 5.77519 | 0.50323 | 0.49935 | 0.50258 | 2.62855 | 7.82752 | 5.63630 | 34.4115 | 37.6770 | 25.5952 | 
 5 -> | 2004.47 | 5.79040 | 0.49241 | 0.50661 | 0.51738 | 2.56072 | 7.74143 | 5.63761 | 32.0774 | 147.695 | 67.5265 | 
