Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 2 -> | 2006.35 | 7.77216 | 0.11636 | 0.91346 | 0.04628 | 2.88608 | 7.79335 | 5.74087 | 1.34420 | 1.50163 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2008.92 | 8.76060 | 0.09726 | 0.99834 | 0.37240 | 2.92519 | 9.04323 | 5.97340 | 9.35993 | 25.1613 | 

 5 -> | 1987.09 | 6.06067 | 0.10058 | 0.90378 | 0.01235 | 2.84662 | 7.08144 | 5.85589 | 2.58220 | 5.07956 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.72 | 8.09379 | 0.11570 | 0.89621 | 0.04362 | 2.80560 | 8.08280 | 5.79969 | 1.32146 | 2.23439 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.34 | 7.74446 | 0.12160 | 0.91387 | 0.04987 | 2.94427 | 7.72198 | 5.76979 | 1.40374 | 1.68493 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2008.98 | 8.71228 | 0.11059 | 0.99813 | 0.40394 | 2.94096 | 9.05623 | 5.98313 | 10.4855 | 26.5586 | 

 5 -> | 1987.12 | 6.08775 | 0.09875 | 0.90775 | 0.01076 | 2.84807 | 6.98177 | 5.86235 | 2.73485 | 4.98487 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.69 | 8.07624 | 0.11244 | 0.89643 | 0.04278 | 2.79633 | 7.99415 | 5.79358 | 1.29454 | 2.27324 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.34 | 7.75813 | 0.11827 | 0.91911 | 0.05183 | 2.94534 | 7.88959 | 5.77902 | 1.40003 | 1.88786 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2008.97 | 8.90072 | 0.10031 | 0.99897 | 0.42606 | 2.95140 | 8.95036 | 5.97725 | 11.7994 | 28.0972 | 

 5 -> | 1987.13 | 6.06398 | 0.10182 | 0.90747 | 0.00930 | 2.83776 | 6.98437 | 5.85713 | 2.48099 | 4.77776 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.67 | 8.06164 | 0.11260 | 0.89193 | 0.04245 | 2.80530 | 7.99222 | 5.80277 | 1.27362 | 2.28548 | 

 1 -> | 1987.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 1.00000 | 1.00000 | 

 2 -> | 2006.34 | 7.75224 | 0.11462 | 0.92181 | 0.05354 | 2.96279 | 7.86623 | 5.78097 | 1.40713 | 1.93123 | 

 3 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 2.00000 | 8.00000 | 0.00000 | 0.00000 | 

 4 -> | 2008.77 | 8.79583 | 0.09660 | 0.99890 | 0.45774 | 2.99890 | 8.79583 | 6.01317 | 12.0483 | 29.0856 | 

 5 -> | 1987.12 | 6.09205 | 0.10162 | 0.90692 | 0.00920 | 2.84806 | 6.96463 | 5.86259 | 2.52171 | 4.57355 | 

