      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 2001.46 | 9.00813 | 0.08943 | 0.95122 | 0.47967 | 2.89431 | 10.2764 | 5.79675 | 22.5935 | 87.6179 | 
 4 -> | 2004.89 | 10.0000 | 0.67273 | 1.00000 | 0.60000 | 3.56364 | 13.0545 | 6.14545 | 176.236 | 268.455 | 
 5 -> | 1999.55 | 7.06438 | 0.09908 | 0.91387 | 0.03795 | 2.85204 | 7.52419 | 5.81548 | 1.83008 | 2.58521 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2002.88 | 8.60606 | 0.24242 | 1.00000 | 0.69697 | 3.09091 | 10.3030 | 5.90909 | 33.9773 | 158.621 | 
 1 -> | 2004.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 3.00000 | 6.00000 | 5.00000 | 145.000 | 
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 1999.61 | 8.84783 | 0.04348 | 0.92391 | 0.53261 | 2.79348 | 9.38043 | 5.72826 | 19.2826 | 90.8696 | 
 4 -> | 2005.86 | 10.0000 | 0.72549 | 1.00000 | 0.68627 | 3.39216 | 13.4902 | 6.07843 | 172.059 | 309.392 | 
 5 -> | 1999.54 | 7.04691 | 0.10060 | 0.91260 | 0.03855 | 2.84282 | 7.56981 | 5.80835 | 1.78499 | 2.61982 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.12 | 8.34286 | 0.30476 | 1.00000 | 0.74286 | 3.20000 | 9.22857 | 5.91429 | 50.5810 | 162.200 | 
 1 -> | 2005.43 | 10.0000 | 0.21429 | 1.00000 | 0.45238 | 3.00000 | 11.5952 | 6.00000 | 8.47619 | 149.024 | 
 2 -> | 1988.57 | 6.04762 | 0.00000 | 1.00000 | 0.00000 | 2.47619 | 11.4286 | 5.33333 | 59.0000 | 28.7143 | 
 3 -> | 2000.17 | 8.81609 | 0.05747 | 0.95402 | 0.51724 | 2.88506 | 9.78161 | 5.77011 | 18.6207 | 93.0460 | 
 4 -> | 2005.96 | 10.0000 | 
