Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 1 -> | 2007.01 | 6.05556 | 0.23932 | 0.98291 | 0.23077 | 3.32906 | 10.2521 | 5.99573 | 3.61111 | 21.7564 | 0.67164 | 
 2 -> | 2011.42 | 5.83544 | 0.04430 | 0.89241 | 0.39873 | 2.65823 | 6.40506 | 5.94304 | 20.3228 | 21.6013 | 0.45350 | 
 3 -> | 1991.23 | 5.65025 | 0.11084 | 0.97783 | 0.05172 | 2.98768 | 11.6921 | 5.86207 | 9.95567 | 18.2438 | 1.16533 | 
 4 -> | 2001.36 | 5.85612 | 0.02878 | 0.98561 | 0.41727 | 2.84892 | 10.6043 | 6.03597 | 61.3094 | 153.511 | 0.39897 | 
 5 -> | 2005.50 | 5.78325 | 0.11921 | 0.88898 | 0.05796 | 2.80170 | 8.10669 | 5.70780 | 1.54534 | 1.52199 | 95.3703 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1999.88 | 5.89421 | 0.09980 | 0.94611 | 0.30539 | 2.92216 | 9.67665 | 6.02395 | 11.4830 | 56.2176 | 1.43800 | 
 1 -> | 2005.14 | 6.02000 | 0.38000 | 0.88000 | 0.24000 | 3.00000 | 9.64000 | 6.00000 | 3.58000 | 31.6400 | 0.14351 | 
 2 -> | 2010.31 | 6.06803 | 0.03401 | 1.00000 | 0.70748 | 2.74150 | 6.45578 | 6.21769 | 18.7483 | 28.7007 | 0.42193 | 
 3 -> | 1994.20 | 5.65306 | 0.16327 | 0.96735 | 0.09388 | 2.77959 | 10.2490 | 5.75510 | 16.7265 | 23.6612 | 0.70321 | 
 4 -> | 2003.67 | 5.88298 | 0.01064 | 1.00000 | 0.42553 | 2.92553 | 10.2766 | 5.96809 | 85.7979 | 160.394 | 0.26980 | 
 5 -> | 2005.35 | 5.78996 | 0.12023 | 0.88738 | 0.05988 | 2.81138 | 8.16439 | 5.70843 | 1.65382 | 1.80969 | 97.0235 | 
