Gen  0| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 5 -> | 1986.66 | 6.03548 | 0.10939 | 0.90222 | 0.00516 | 2.90130 | 7.17599 | 5.90080 | 2.10239 | 2.98392 | 

Gen  4| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.70 | 7.70524 | 0.09024 | 0.92970 | 0.04481 | 2.93669 | 7.77616 | 5.70956 | 1.34101 | 1.20863 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.42 | 7.95068 | 0.07123 | 0.97397 | 0.22055 | 2.86027 | 7.81096 | 5.87534 | 4.11644 | 11.9699 | 
 3 -> | 2013.14 | 7.98190 | 0.11777 | 0.90869 | 0.05738 | 2.80651 | 8.03644 | 5.79182 | 1.40313 | 2.66918 | 
 4 -> | 2008.91 | 9.02555 | 0.09307 | 0.98358 | 0.43796 | 2.85584 | 7.64964 | 6.07299 | 15.4471 | 45.4380 | 
 5 -> | 1986.70 | 6.00861 | 0.10454 | 0.89931 | 0.00775 | 2.88551 | 7.14795 | 5.89406 | 2.09440 | 3.27813 | 

Gen  5| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.71 | 7.68716 | 0.08622 | 0.93548 | 0.03895 | 2.94258 | 7.84906 | 5.71739 | 1.37858 | 1.18422 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.61 | 8.02459 | 0.06967 | 0.96995 | 0.21995 | 2.85792 | 7.67213 | 5.85519 | 4.17623 | 11.2568 | 
 3 -> | 2013.19 | 7.99934 | 0.11947 | 0.90674 | 0.05267 | 2.81174 | 7.96131 | 5.79893 | 1.28078 | 2.33518 | 
 4 -> | 2009.43 | 9.03143 | 0.12714 | 1.00000 | 0.44714 | 2.88857 | 8.91286 | 6.05143 | 13.5943 | 38.6200 | 
 5 -> | 1986.73 | 5.99493 | 0.10241 | 0.90253 | 0.00946 | 2.88319 | 7.21385 | 5.89735 | 2.16411 | 3.63290 | 

Gen  6| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.71 | 7.69448 | 0.08650 | 0.93354 | 0.04049 | 2.95521 | 7.95317 | 5.73088 | 1.35010 | 1.17996 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.86 | 7.82722 | 0.13609 | 0.98580 | 0.17870 | 2.90651 | 6.99882 | 5.86154 | 3.97515 | 10.7503 | 
 3 -> | 2013.27 | 8.00338 | 0.11163 | 0.90173 | 0.05252 | 2.79214 | 7.92719 | 5.79061 | 1.21700 | 2.09294 | 
 4 -> | 2009.25 | 9.06658 | 0.11097 | 0.99383 | 0.42787 | 2.86560 | 9.18002 | 6.03946 | 12.1529 | 34.7213 | 
 5 -> | 1986.77 | 6.01463 | 0.09939 | 0.90310 | 0.01081 | 2.86570 | 7.25149 | 5.89326 | 2.26709 | 3.88148 | 

Gen  7| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.71 | 7.68213 | 0.08612 | 0.93489 | 0.04431 | 2.94633 | 7.96963 | 5.73206 | 1.33742 | 1.14625 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.92 | 7.85032 | 0.12845 | 0.97134 | 0.14225 | 2.86943 | 7.01699 | 5.86518 | 3.78025 | 10.5340 | 
 3 -> | 2013.31 | 8.01862 | 0.10645 | 0.90039 | 0.05353 | 2.78805 | 7.99809 | 5.79359 | 1.20052 | 1.96544 | 
 4 -> | 2008.91 | 9.02395 | 0.11617 | 0.99880 | 0.39641 | 2.86467 | 9.10060 | 6.02994 | 11.6216 | 32.1114 | 
 5 -> | 1986.75 | 6.00844 | 0.09951 | 0.90456 | 0.01155 | 2.87452 | 7.26029 | 5.89720 | 2.22852 | 3.84813 | 

Gen  8| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.66 | 7.62308 | 0.08802 | 0.93199 | 0.04085 | 2.95978 | 8.00253 | 5.72289 | 1.35250 | 1.08339 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2006.06 | 7.78517 | 0.14940 | 0.98146 | 0.14286 | 2.90840 | 7.28244 | 5.87459 | 3.54853 | 9.84733 | 
 3 -> | 2013.33 | 8.01413 | 0.10819 | 0.89770 | 0.05401 | 2.78838 | 8.04014 | 5.78769 | 1.21196 | 1.95345 | 
 4 -> | 2008.72 | 9.01525 | 0.10131 | 0.99891 | 0.37146 | 2.83878 | 8.95861 | 6.01307 | 11.3475 | 30.7516 | 
 5 -> | 1986.72 | 6.01967 | 0.09664 | 0.90157 | 0.01232 | 2.86401 | 7.20147 | 5.89260 | 2.14011 | 4.05239 | 

Gen  9| region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.67 | 7.67082 | 0.08641 | 0.93239 | 0.04014 | 2.94486 | 8.24361 | 5.71625 | 1.36700 | 1.03465 | 
 1 -> | 1978.00 | 1.00000 | 1.00000 | 0.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2006.07 | 7.64361 | 0.16764 | 0.97890 | 0.13599 | 2.88394 | 6.90739 | 5.85698 | 3.47714 | 9.67409 | 
 3 -> | 2013.32 | 8.03291 | 0.10827 | 0.89763 | 0.05323 | 2.76270 | 7.94035 | 5.78797 | 1.19172 | 1.93062 | 
 4 -> | 2008.59 | 9.06659 | 0.09061 | 1.00000 | 0.34607 | 2.83079 | 9.19105 | 6.01638 | 10.8777 | 30.7369 | 
 5 -> | 1986.74 | 5.99917 | 0.09416 | 0.90132 | 0.01118 | 2.84639 | 7.19338 | 5.87201 | 2.20289 | 4.03174 | 
