Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 2 -> | 1995.72 | 11.1069 | 1.00000 | 1.00000 | 0.85748 | 7.13895 | 21.4786 | 8.58076 | 36.0879 | 0.90736 | 
 3 -> | 2013.82 | 11.1459 | 1.00000 | 1.00000 | 0.87879 | 7.15600 | 21.4680 | 8.55556 | 7.15152 | 12.2548 | 
 4 -> | 2003.58 | 11.1035 | 0.99897 | 1.00000 | 0.93510 | 7.14559 | 21.4858 | 8.54618 | 19.1158 | 36.2096 | 
 5 -> | 2002.90 | 11.0905 | 0.99940 | 1.00000 | 0.96282 | 7.16001 | 21.5207 | 8.51889 | 62.0164 | 161.896 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2000.72 | 11.2219 | 1.00000 | 1.00000 | 0.97594 | 7.35027 | 21.8155 | 8.93048 | 7.75401 | 21.7647 | 
 1 -> | 2004.61 | 11.2222 | 1.00000 | 1.00000 | 1.00000 | 7.30556 | 21.7222 | 9.05556 | 19.6667 | 16.5278 | 
 2 -> | 1989.63 | 11.2237 | 1.00000 | 1.00000 | 0.98684 | 7.31579 | 21.8509 | 8.97807 | 42.5614 | 1.07895 | 
 3 -> | 2013.29 | 11.2667 | 1.00000 | 1.00000 | 0.98444 | 7.34667 | 21.8222 | 8.95111 | 20.6889 | 15.1622 | 
 4 -> | 2004.05 | 11.2101 | 1.00000 | 1.00000 | 0.99556 | 7.32112 | 21.8319 | 8.91672 | 25.1228 | 52.3568 | 
 5 -> | 2002.26 | 11.1886 | 1.00000 | 1.00000 | 0.99812 | 7.31079 | 21.8407 | 8.90551 | 80.8129 | 198.057 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2000.97 | 11.3750 | 1.00000 | 1.00000 | 1.00000 | 7.55625 | 21.9625 | 9.41250 | 9.63125 | 35.2688 | 
 1 -> | 1998.09 | 11.3636 | 1.00000 | 1.00000 | 1.00000 | 7.36364 | 22.0000 | 9.00000 | 23.7273 | 24.9091 | 
 2 -> | 1978.00 | 11.1250 | 1.00000 | 1.00000 | 1.00000 | 7.62500 | 22.0000 | 9.00000 | 34.0000 | 20.0000 | 
 3 -> | 2003.64 | 11.3739 | 1.00000 | 1.00000 | 1.00000 | 7.51802 | 21.9685 | 9.27252 | 47.2658 | 13.0721 | 
 4 -> | 2005.56 | 11.3747 | 1.00000 | 1.00000 | 1.00000 | 7.53294 | 21.9699 | 9.36706 | 28.0416 | 71.7380 | 
 5 -> | 2001.05 | 11.3491 | 1.00000 | 1.00000 | 1.00000 | 7.52953 | 21.9748 | 9.32723 | 101.009 | 229.380 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1999.82 | 11.7143 | 1.00000 | 1.00000 | 1.00000 | 7.78571 | 22.0000 | 9.64286 | 15.0714 | 48.5714 | 
 1 -> | 2008.77 | 11.6538 | 1.00000 | 1.00000 | 1.00000 | 7.76923 | 22.0000 | 9.30769 | 30.7308 | 38.2308 | 
 2 -> | 1986.00 | 11.0000 | 1.00000 | 1.00000 | 1.00000 | 8.00000 | 22.0000 | 12.0000 | 27.0000 | 33.0000 | 
 3 -> | 1998.84 | 11.5725 | 1.00000 | 1.00000 | 1.00000 | 7.70229 | 22.0000 | 9.74046 | 63.1908 | 23.1069 | 
 4 -> | 2004.94 | 11.5992 | 1.00000 | 1.00000 | 1.00000 | 7.76570 | 21.9991 | 9.85024 | 38.5514 | 106.801 | 
 5 -> | 1999.89 | 11.5873 | 1.00000 | 1.00000 | 1.00000 | 7.78114 | 21.9994 | 9.77771 | 129.235 | 279.934 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2004.75 | 11.8500 | 1.00000 | 1.00000 | 1.00000 | 7.80000 | 22.0000 | 10.6000 | 21.9000 | 73.1000 | 
 1 -> | 2009.38 | 11.7500 | 1.00000 | 1.00000 | 1.00000 | 7.75000 | 22.0000 | 11.0000 | 37.7500 | 57.2500 | 
 2 -> | 1986.00 | 11.0000 | 1.00000 | 1.00000 | 1.00000 | 8.00000 | 22.0000 | 12.0000 | 27.0000 | 33.0000 | 
 3 -> | 2001.56 | 11.8519 | 1.00000 | 1.00000 | 1.00000 | 8.00000 | 22.0000 | 10.5185 | 83.6296 | 32.6667 | 
 4 -> | 2005.34 | 11.8376 | 1.00000 | 1.00000 | 1.00000 | 7.94517 | 22.0000 | 10.4095 | 51.0572 | 144.838 | 
 5 -> | 1998.27 | 11.8323 | 1.00000 | 1.00000 | 1.00000 | 7.95137 | 22.0000 | 10.3546 | 164.118 | 350.893 | 
