Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 5 -> | 2004.34 | 5.81552 | 0.10346 | 0.92508 | 0.06362 | 2.73004 | 7.89713 | 5.67697 | 1.82295 | 2.28631 | 98.1184 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1990.82 | 5.53571 | 0.03571 | 0.83929 | 0.10714 | 2.64286 | 7.66071 | 5.62500 | 12.7679 | 74.0000 | 0.81680 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 2003.00 | 4.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 3.00000 | 8.00000 | 0.00000 | 60.0000 | 0.20420 | 
 4 -> | 2005.15 | 6.15152 | 0.06061 | 1.00000 | 0.45455 | 3.33333 | 13.6061 | 5.78788 | 19.1515 | 42.4545 | 0.48133 | 
 5 -> | 2004.37 | 5.80853 | 0.10632 | 0.92092 | 0.06412 | 2.74308 | 7.82230 | 5.67481 | 1.83444 | 2.33629 | 98.4977 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1990.13 | 5.45161 | 0.09677 | 0.90323 | 0.16129 | 3.03226 | 8.09677 | 5.67742 | 17.8065 | 93.4839 | 0.45216 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 2000.95 | 4.25000 | 0.00000 | 1.00000 | 0.00000 | 2.15000 | 4.00000 | 7.70000 | 0.90000 | 59.3000 | 0.29172 | 
 4 -> | 1997.68 | 6.34091 | 0.09091 | 0.86364 | 0.22727 | 2.93182 | 13.2045 | 5.65909 | 17.4773 | 45.2500 | 0.64177 | 
 5 -> | 2004.25 | 5.81586 | 0.11522 | 0.91584 | 0.06404 | 2.76039 | 7.81719 | 5.67564 | 1.79130 | 2.36992 | 98.6144 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1989.14 | 5.46429 | 0.14286 | 1.00000 | 0.17857 | 3.35714 | 9.57143 | 5.50000 | 20.7857 | 106.357 | 0.40840 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 1997.14 | 5.57143 | 0.00000 | 0.57143 | 0.14286 | 2.14286 | 1.42857 | 6.00000 | 15.7143 | 70.0000 | 0.10210 | 
 4 -> | 1997.78 | 5.57500 | 0.00000 | 0.85000 | 0.12500 | 2.37500 | 8.70000 | 6.35000 | 7.10000 | 54.0500 | 0.58343 | 
 5 -> | 2004.10 | 5.81463 | 0.12004 | 0.91904 | 0.06931 | 2.76965 | 7.76124 | 5.67291 | 1.93777 | 2.50759 | 98.9061 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1990.50 | 5.80000 | 0.20000 | 1.00000 | 0.20000 | 3.70000 | 7.90000 | 5.30000 | 20.1000 | 134.800 | 0.14586 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 1989.00 | 5.00000 | 0.00000 | 1.00000 | 0.00000 | 3.88889 | 14.0000 | 6.00000 | 26.0000 | 80.0000 | 0.13127 | 
 4 -> | 1995.04 | 5.00000 | 0.00000 | 0.96000 | 0.00000 | 2.36000 | 3.36000 | 6.64000 | 6.80000 | 66.4800 | 0.36464 | 
 5 -> | 2004.07 | 5.81841 | 0.12258 | 0.91662 | 0.06856 | 2.76380 | 7.77892 | 5.67014 | 1.89548 | 2.50161 | 99.3582 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1986.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 4.00000 | 6.00000 | 5.00000 | 20.0000 | 150.000 | 0.10210 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 2004.00 | 6.00000 | 1.00000 | 1.00000 | 1.00000 | 3.00000 | 18.0000 | 6.00000 | 30.0000 | 100.000 | 0.04376 | 
 4 -> | 1987.48 | 5.17391 | 0.21739 | 0.95652 | 0.00000 | 2.73913 | 5.47826 | 5.65217 | 14.5217 | 77.8261 | 0.33547 | 
 5 -> | 2003.94 | 5.82310 | 0.12692 | 0.91294 | 0.06683 | 2.79320 | 7.89946 | 5.68694 | 1.90576 | 2.65880 | 99.5187 | 
