Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1977.00 | 5.40492 | 0.08468 | 0.87855 | 0.00000 | 3.15739 | 5.44463 | 6.03530 | 0.75415 | 1.61715 | 
 5 -> | 2010.69 | 8.00114 | 0.12123 | 0.92312 | 0.08241 | 2.82325 | 7.88706 | 5.77115 | 2.67399 | 6.17735 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.20 | 6.38812 | 0.12214 | 0.91761 | 0.00077 | 2.73051 | 7.46846 | 5.78427 | 1.67658 | 1.59274 | 
 1 -> | 1978.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 422.000 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1977.13 | 5.50094 | 0.08820 | 0.87911 | 0.00000 | 3.14079 | 5.51226 | 6.01278 | 0.87806 | 1.62141 | 
 5 -> | 2010.74 | 7.96607 | 0.12151 | 0.92102 | 0.07968 | 2.82200 | 7.83312 | 5.76961 | 2.53551 | 5.69167 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.20 | 6.44167 | 0.12473 | 0.91749 | 0.00076 | 2.74081 | 7.42832 | 5.78521 | 1.64991 | 1.68273 | 
 1 -> | 1978.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 422.000 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1977.12 | 5.43896 | 0.09771 | 0.88292 | 0.00000 | 3.20457 | 5.49641 | 6.02437 | 0.86529 | 1.67704 | 
 5 -> | 2010.75 | 7.98199 | 0.11764 | 0.91903 | 0.08043 | 2.81475 | 7.74186 | 5.76827 | 2.57434 | 5.64610 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.21 | 6.45162 | 0.12315 | 0.91234 | 0.00051 | 2.75944 | 7.54248 | 5.79332 | 1.64262 | 1.66748 | 
 1 -> | 1978.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 422.000 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1977.12 | 5.44698 | 0.09667 | 0.88221 | 0.00000 | 3.22796 | 5.54540 | 6.03592 | 0.79861 | 1.75898 | 
 5 -> | 2010.70 | 7.96975 | 0.11959 | 0.91817 | 0.08004 | 2.80614 | 7.70227 | 5.75238 | 2.62365 | 5.80162 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.23 | 6.46834 | 0.12514 | 0.91187 | 0.00034 | 2.78160 | 7.58263 | 5.80103 | 1.56446 | 1.68564 | 
 1 -> | 1978.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 422.000 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1977.12 | 5.50109 | 0.09838 | 0.88172 | 0.00000 | 3.18561 | 5.53651 | 6.01443 | 0.86380 | 1.80805 | 
 5 -> | 2010.65 | 7.95394 | 0.11913 | 0.91991 | 0.07628 | 2.82288 | 7.63138 | 5.75253 | 2.64505 | 5.87461 | 
